,hashTan,hashVin,DeviceId,TripId,SubTripId,SubtripStartLocation,SubtripEndLocation,SubtripDistance,SubtripTimePeriod,SubtripWayCategory,SubtripWayType,SubtripStreets,SubtripCities,Subtrip_MTFCC,Subtrip_RTTYP,SubtripFrequency
10,5238965894433443661,647717460783199836,2850008858,2850008858_5,2850008858_5_1,"(43.042652, -91.14066)","(42.48517, -87.94977)",307.392,248.181,"{'Highway': 21, 'No_category': 39}","{'Street': 4, 'Road': 3, 'State_Road': 47}","['US 12', 'The Market Place', 'WLCB-LP Broadcast Tower', 'Kenosha County Public Works', 'US 51', '11900 108th Street', 'Drifters Bar & Grill', 'Temple Drive', 'Brown School Road', 'Roidt Drive', 'Ihm Harris Road', 'State Highway 50', 'US Highway 18', 'County Road P', 'Dodgeville Expressway', 'Discount Tire', 'Koshkonong Road', 'Park Road', 'Great River Road', 'I 39 North', 'South Beltline Highway', 'Kies Lane', '700 South 2nd Street', 'Travel Centers of America - Janesville', '142nd Avenue', 'Dairy Ridge Road', 'I 90 Alternate', 'South Woodpine Drive', 'Kwik Trip', 'Travel Centers of America - Chicago North', 'Lake Drive Road', 'WI 80', 'Holzer Lane', 'Prairie Heights Drive', 'I 43 ALT', 'Aschliman Road', 'Chalet Ski and Patio', 'McCarthy School Park', '1st Avenue', 'Mills Market', 'Village Circle', 'WI 35', 'I 43 North', 'Salem Mound Cemetery', 'Bergstrom Cadillac']","['Delavan', 'Mount Hope', 'Janesville', 'Ridgeway', 'Patch Grove', 'Fennimore', 'Salem', 'Milton', 'Dodgeville', 'Cobb', 'Blue Mounds', 'Edgerton', 'Montfort', 'Prairie Du Chien', 'Darien', 'Lake Geneva', 'Bristol', 'Mount Horeb', 'Whitewater', 'Madison', 'Russell', 'Verona', 'New Munster']",['S1100'],"['I', 'U']",1
11,5238965894433443661,647717460783199836,2850008858,2850008858_6,2850008858_6_1,"(42.44868, -87.95906)","(42.38967, -87.95493)",8.005,10.0,"{'Steps': 1, 'Highway': 1, 'No_category': 3}","{'Street': 2, 'State_Road': 2}","['Gurnee Mills Mall', 'Grand Avenue']","['Gurnee', 'Wadsworth']",['S1100'],['M'],1
12,5238965894433443661,647717460783199836,2850008858,2850008858_6,2850008858_6_2,"(42.388218, -87.96339)","(42.073208, -88.20584)",50.452,70.0,{'No_category': 15},"{'Street': 2, 'Road': 4, 'State_Road': 14}","['East Misty Hill Lane', 'Mill Creek', ""Cabela's Deli & Grill"", 'Highgate Lane', 'Algonquin Road', 'Beacon Lane', 'Commerce Drive', 'Leon Drive', 'IL 59', 'Gamers HQ', 'Dundee Avenue', ""Jimmy John's"", 'Old Iroquois Road', '5225 Prairie Stone Parkway', 'Shell']","['Lake Villa', 'Schaumburg', 'Gurnee', 'Barrington', 'Grayslake', 'Wauconda']",[],[],1
13,5238965894433443661,647717460783199836,2850008858,2850008858_6,2850008858_6_3,"(42.06675, -88.237206)","(43.398483, -88.53796)",214.604,145.0,"{'Steps': 9, 'Highway': 26, 'No_category': 14}","{'Street': 2, 'Road': 1, 'State_Road': 29}","['Bellwood Animal Hospital', 'East L T Townline Road', 'Pitzner Parkway', 'Toll Authority Comunications', 'North Harmony Town Hall Road', 'Wild Goose Trail Parking', 'Jane Addams Memorial Tollway', 'IL 47', 'Carlson Road', 'Ipsen Road', 'I 43 Alternate', 'I 39 North', 'Old 26', 'Frontage Road', '2020 North Randall Road', 'Oakland Avenue', 'Belisle Road', 'Genoa Road', 'Sandy Lane', 'Hawthorne Lane', 'State Highway 60', 'South Carol Street', 'Iron Street', 'Glacial River Trail', 'Hoard Road', 'Second Street Road']","['Clyman', 'Gilberts', 'Roscoe', 'Fort Atkinson', 'Watertown', 'Belvidere', 'Garden Prairie', 'Rubicon', 'Hoffman Estates', 'Iron Ridge', 'Janesville', 'Milton', 'Caledonia', 'Juneau']",['S1100'],"['I', 'S']",1
14,5238965894433443661,647717460783199836,2850008858,2850008858_6,2850008858_6_4,"(43.422565, -88.54216)","(43.070312, -91.14149)",245.978,185.0,"{'Highway': 17, 'No_category': 30}","{'Street': 5, 'Road': 2, 'State_Road': 37}","['Tormey Road', 'Klinkhammer Lane', 'US 151', 'Norma Avenue', 'Juniper Street', 'Walmart Supercenter', 'US Highway 18', 'Blue Vista Road', 'Dodgeville Expressway', 'Water Street', 'Zurbuchen Drive', 'Commerce Street', 'W3941 State Highway 33', 'Salem Cemetery', 'Interlake Drive', 'Pine Road', 'East Washington Avenue', 'US 18', '254 US 18', 'South Thompson Drive', 'Old Hickory Clubhouse', 'CTH G', 'Verona Road Frontage Road', 'Lorraine Court', 'Rice Road', 'State Highway 35/133', 'Ridgeview Road', 'WI 35', 'WJTY-FM (Lancaster)', 'Weiner Road', ""Coach's Family Resterant"", ""Casey's General Store"", 'Huron Street', 'Twin Lane Road', 'West Beltline Frontage Road', 'Robbins Creek', 'State Highway 33']","['Blue Mounds', 'Cobb', 'Patch Grove', 'Montfort', 'Madison', 'Prairie Du Chien', 'Mayville', 'Mount Hope', 'Fennimore', 'Columbus', 'Beaver Dam', 'Horicon', 'Barneveld', 'Dodgeville', 'Ridgeway', 'Verona', 'Mount Horeb', 'Sun Prairie']",['S1100'],"['I', 'U']",2
15,5238965894433443661,647717460783199836,2850008858,2850008858_6,2850008858_6_5,"(43.049465, -91.14092)","(43.017166, -91.10941)",4.484,10.0,{'No_category': 2},"{'Street': 1, 'State_Road': 2}","['Great River Road', 'Walmart Supercenter']",['Prairie Du Chien'],[],[],3
16,5238965894433443661,647717460783199836,2850008858,2850008858_6,2850008858_6_6,"(43.02495, -91.12236)","(43.029125, -91.12712)",0.604,5.0,{'No_category': 2},"{'Street': 2, 'State_Road': 1}",['Super 8'],['Prairie Du Chien'],[],[],3
17,5238965894433443661,647717460783199836,2850008858,2850008858_7,2850008858_7_1,"(43.0392, -91.13935)","(43.070004, -91.141396)",3.427,5.0,{'No_category': 2},"{'Street': 2, 'State_Road': 1}",['Norma Avenue'],['Prairie Du Chien'],[],[],3
18,5238965894433443661,647717460783199836,2850008858,2850008858_7,2850008858_7_2,"(43.03721, -91.13881)","(43.16584, -89.26906)",170.575,125.0,"{'Highway': 10, 'No_category': 21}","{'Street': 1, 'Road': 1, 'State_Road': 26}","['Whitson View School', 'County Road J', '2nd Street', 'West Broadway', 'Campbell Hollow Road', 'US 151 Business', 'Ice Age Trail Junction Area', ""Cabela's"", 'Great River Road', 'Route 66 Street', 'S Beltline Ft & Seminole (WB)', 'US Highway 18 and 151', 'Prairie Lakes Drive', ""McDonald's"", 'La-Z-Boy', 'Anderson Lane', 'Blake Fork', 'I 94 ALT', 'County Road PD', 'Utopia Lane', 'Industrial Drive', 'Epic Farm', 'Pine Grove School', 'Halverson Road', 'Hi-Point Steak house', 'Prairie Cemetery']","['Montfort', 'Madison', 'Prairie Du Chien', 'Mount Hope', 'Fennimore', 'Barneveld', 'Dodgeville', 'Ridgeway', 'Verona', 'Mount Horeb']",['S1100'],"['I', 'U']",1
19,5238965894433443661,647717460783199836,2850008858,2850008858_7,2850008858_7_3,"(43.18445, -89.237045)","(43.398544, -88.53785)",72.805,55.0,"{'Highway': 6, 'No_category': 9}","{'Street': 2, 'Road': 1, 'State_Road': 11}","['South Wind Trail', 'Weiner Road', 'Iron Street', 'Empire Drive', 'Mary Lane', 'Memorial County Park', 'Salem Cemetery', 'Limetown Coutry', 'Maunesha River', 'Industrial Drive', 'State Highway 33']","['Mayville', 'Iron Ridge', 'Columbus', 'Beaver Dam', 'Horicon', 'Sun Prairie']",['S1100'],['U'],1
20,5238965894433443661,647717460783199836,2850008858,2850008858_8,2850008858_8_1,"(43.443127, -88.56189)","(43.17461, -89.32552)",78.77,65.0,"{'Highway': 8, 'No_category': 10}","{'Street': 2, 'State_Road': 13}","['Oakwood Memorial Gardens Cemetery', 'BP', 'Branch Road', 'East Lake Street', 'Wrucke Cemetery', 'Ron del Road', 'US 151', 'I 39 North', 'I 94 ALT', 'Ivory Drive', 'State Highway 33', 'County Road D']","['De Forest', 'Columbus', 'Beaver Dam', 'Horicon', 'Sun Prairie']",['S1100'],"['I', 'U']",1
21,5238965894433443661,647717460783199836,2850008858,2850008858_8,2850008858_8_2,"(43.12018, -89.28898)","(43.07031, -91.1415)",169.356,135.0,"{'Highway': 10, 'No_category': 22}","{'Street': 1, 'State_Road': 27}","['Kalas Street', 'Norma Avenue', 'South 8th Street', 'Campbell Hollow Road', 'South Marquette Road', 'Ihm Harris Road', 'North Marquette Road', 'A9', 'Sunney Road', 'US Highway 18', 'Dale Drive', '1st Street', 'Oak Road', 'US 18', 'State Highway 39', 'Rayovac Drive', 'Casler Cemetery', 'Dairy Ridge Road', 'I 94 ALT', 'Harriman Lane', 'Longview Court', 'BLue Mounds Lutheran Cemetery', 'AMS', 'Aschliman Road', 'Wilson Street', 'Investment Court', 'Edgington Road']","['Blue Mounds', 'Cobb', 'Montfort', 'Madison', 'Prairie Du Chien', 'Mount Hope', 'Cottage Grove', 'Fennimore', 'Dodgeville', 'Ridgeway', 'Verona', 'Mount Horeb']",['S1100'],"['I', 'U']",2
22,5238965894433443661,647717460783199836,2850008858,2850008858_9,2850008858_9_1,"(43.049774, -91.14093)","(43.277744, -88.18716)",271.903,200.003,"{'Highway': 14, 'No_category': 32}","{'Street': 3, 'Road': 1, 'State_Road': 40}","['I 90', 'Tormey Road', 'Ridgeview Early Learning Center', 'Bond Lane', 'Oakwood Boulevard', 'Branch Road', 'BP', 'South Industrial Boulevard', 'Section Line Road', 'US 151', 'Wild Goose Trail Parking', 'Hi-Point Road', 'County Highway FD', 'WI 60', 'Cascade Aerator', 'O Connor Road', 'Lands End Lane', 'US Highway 18', 'County Road P', 'Water Street', 'Sugar River', 'Park Avenue', ""Cabela's"", 'Park Road', 'Great River Road', 'Verona Road', 'Kittleson Krest Park', 'Leismann Road', 'Kies Lane', '254 US 18', 'Bowl-A-Vard Lanes', 'WJTY-FM (Lancaster)', 'Harriman Lane', 'County Road ID', 'State Highway 60', 'Lovers Lane', 'Fennimore Railroad Historical Society Museum', 'WI 35', 'Robbins Creek']","['Mount Hope', 'Barneveld', 'Ridgeway', 'Lowell', 'Patch Grove', 'Hartford', 'Fennimore', 'Dodgeville', 'Slinger', 'Cobb', 'Blue Mounds', 'Montfort', 'Prairie Du Chien', 'Richfield', 'Columbus', 'Reeseville', 'Mount Horeb', 'Sun Prairie', 'Juneau', 'Madison', 'Rubicon', 'Verona']",['S1100'],"['I', 'U']",2
23,5238965894433443661,647717460783199836,2850008858,2850008858_9,2850008858_9_2,"(43.29583, -88.21094)","(43.06984, -91.13592)",268.797,195.003,"{'Highway': 14, 'No_category': 33}","{'Street': 1, 'State_Road': 40}","['Fish Road', 'State Highway 26', 'Greenway Road', 'Section Line Road', ""Angee B'z"", 'County Road JJ', 'Norma Avenue', 'South Thompson Road', 'Campbell Hollow Road', 'Porsche Madison', 'Willow Road', 'Sunney Road', 'US Highway 18', 'Dodgeville Expressway', 'US 151 Business', 'East Keane Street', 'Great River Road', 'Kittleson Krest Park', '711 East Washington Street', 'CTH KW', 'South Beltline Highway', 'County Farm Road', 'State Highway 35', 'South Birdsey Street', 'Verona Area Soccer Club', 'Ridgeview Road', 'South 10th Street', 'County Road ID', 'Holzer Lane', 'State Highway 60', 'Baden Street', 'Citgo', 'Fennimore Community School', 'Glacier Hill Drive', 'Doncaster Park', '430 Lincoln Avenue', 'Wayside Drive', 'West Main Street', 'Robbins Creek']","['Mount Hope', 'Barneveld', 'Ridgeway', 'Lowell', 'Hartford', 'Fennimore', 'Dodgeville', 'Slinger', 'Blue Mounds', 'Cobb', 'Montfort', 'Prairie Du Chien', 'Columbus', 'Mount Horeb', 'Sun Prairie', 'Juneau', 'Madison', 'Rubicon', 'Verona']",['S1100'],"['I', 'U']",2
24,5238965894433443661,647717460783199836,2850008858,2850008858_9,2850008858_9_3,"(43.126312, -91.14256)","(43.95595, -92.28176)",174.703,120.004,"{'Highway': 11, 'No_category': 16}","{'Street': 3, 'Road': 2, 'State_Road': 24}","['Depot Road', 'Wabasha Avenue', '4101 Mormon Coulee Rd', '14812 State Highway 35', 'Carter Way Road', 'Wilson Frontage Road', 'Old Highway 35', 'Main Street', 'Enterprise Valley Drive', 'Lock and Dam 7', 'State Highway 35', 'I 90 East', '100th Avenue Southeast', 'S5631 State Highway 35', 'Little Houska Park', 'Dakota Creek', 'County Road BI', 'St Charles Twprd 24', 'Ridgeway Community School', 'State Highway 82', 'County Road 32', 'Gordons Bay', 'Shore Acres Drive']","['Ferryville', 'Stoddard', 'Dover', 'Eastman', 'Utica', 'La Crescent', 'La Crosse', 'Dakota', 'Genoa', 'Lewiston', 'De Soto']",['S1100'],['I'],1
25,5238965894433443661,647717460783199836,2850008858,2850008858_10,2850008858_10_1,"(43.95585, -92.32328)","(44.874397, -93.05668)",125.058,79.996,"{'Highway': 16, 'No_category': 9}",{'State_Road': 17},"['2417 53rd Street East', 'Silas Dent Road Northwest', 'North Fork Zumbro River', 'Little Cannon River', 'Coates Boulevard', '113th Avenue Way', 'US 52 South', 'MN 60 West', 'Bishop Avenue East', 'McGroarty Park', '75th Avenue Way', 'Frontage Road', 'Meadow Lane Southwest', 'US 52 North', '700 Treetop Lane Southwest', 'Goodwin Avenue']","['Rochester', 'Inver Grove Heights', 'Randolph', 'Hampton', 'South Saint Paul', 'Zumbrota', 'Cannon Falls', 'Pine Island', 'Oronoco', 'Eyota']",['S1100'],"['I', 'U']",2
26,5238965894433443661,64133804176276666,2850032122,2850032122_1,2850032122_1_1,"(40.51355, -78.367096)","(41.005238, -78.35498)",65.831,60.0,"{'Highway': 4, 'No_category': 10}","{'Street': 2, 'State_Road': 12}","['PA 764', '995 Tyrone Pike', '5169 Tyrone Pike', 'High Street', 'Roxby Lane', 'Shorb Street', '3416 Tyrone Pike', 'Old Bradford Church', 'Bland Street', '602 North Centre Street', 'Indigo Bunting Road', 'Clearfield Street']","['Bellwood', 'Tyrone', 'Woodland', 'Sandy Ridge', 'Philipsburg', 'Tipton', 'West Decatur']",['S1100'],['I'],1
27,5238965894433443661,64133804176276666,2850032122,2850032122_1,2850032122_1_2,"(41.006966, -78.35109)","(41.04205, -78.393585)",5.313,10.0,"{'Highway': 2, 'No_category': 3}","{'Street': 1, 'Road': 2, 'State_Road': 2}","['Sapp Brothers Travel Centers', 'Fulton Cemetery']","['Mineral Springs', 'Clearfield', 'Woodland']",['S1100'],['I'],1
28,5238965894433443661,64133804176276666,2850032122,2850032122_2,2850032122_2_1,"(41.06124, -78.45048)","(40.497112, -79.93674)",165.582,130.0,"{'Highway': 17, 'No_category': 15}","{'Road': 1, 'State_Road': 27}","['Bee Line Highway', 'Burger King', 'RIDC Industrial Park', 'Pine Run Road', 'Pine Ridge Road', 'PA 28', 'Brookville Street', 'Creel Road', 'Sheetz', 'Garden Way', 'Saint John Cantius Church', 'Wood Street', 'I 80', 'Waterfall Lane', 'Kyle Lake', 'Hite Road', 'Bull Creek', 'New Bethlehen Wesleyan Methodist School', 'Anderson Creek Road', 'Seneca Trail Road', 'Heffelfinger Road', 'Hill Street', 'North 6th Street', 'Smith Road', 'Kirkman Road', 'Kellersburg Road', 'Bridge Street']","['Natrona Heights', 'Fairmount City', 'New Bethlehem', 'Clearfield', 'Manorville', 'Summerville', 'Creighton', 'Kittanning', 'Brookville', 'Rockton', 'Du Bois', 'Cadogan', 'Templeton', 'Pittsburgh', 'Harwick', 'Freeport', 'Falls Creek', 'Distant', 'Mayport', 'Corsica', 'Seminole']",['S1100'],"['S', 'I', 'U']",2
29,5238965894433443661,64133804176276666,2850032122,2850032122_2,2850032122_2_2,"(40.500484, -79.94209)","(41.036697, -78.38392)",173.155,150.0,"{'Highway': 20, 'No_category': 14}","{'Street': 1, 'Road': 1, 'State_Road': 30}","['Rural Alley', 'Stony Run', 'Stokes Road', 'School Street', 'Woodmont Drive', 'Bull Creek Road', 'T628', 'Pennsylvania Department of Transportation', 'Maple Street', 'Noble Street', 'Tucker Lane', 'Main Street', 'Green Belt', 'Silverville Road', 'Kennedy Road', 'Butler Cemetery', 'PA 28 Truck', 'Poverty Hill Road', 'Moore Road', 'T435', 'PA 66', 'Kyle Lake', 'Cornman Road', 'Settlers Road', 'T567', 'Dressler Cemetery', 'Chestnut Alley', 'West Branch Susquehanna River', 'Hill Street', 'Church Road']","['Natrona Heights', 'Fairmount City', 'New Bethlehem', 'Clearfield', 'Manorville', 'Kittanning', 'Brookville', 'Du Bois', 'Cadogan', 'Templeton', 'Pittsburgh', 'Harwick', 'Freeport', 'Falls Creek', 'Distant', 'Mayport', 'Woodland', 'Corsica', 'Seminole']",['S1100'],"['U', 'I', 'S']",2
30,5238965894433443661,64133804176276666,2850032122,2850032122_3,2850032122_3_1,"(41.004868, -78.27676)","(41.027157, -76.31786)",176.172,110.0,"{'Highway': 22, 'No_category': 2}","{'Street': 2, 'Road': 2, 'State_Road': 22}","['723 East Sycamore Road', ""Love's 324"", 'Sportmans Road', 'Davis Road', '525 Sankey Road', 'White Deer Creek', '5452 Jacksonville Road', 'Crown Royal Camp Lane', '241 Resides Lane', 'Spotts Road', 'I 80', 'Lunger Drive', '457 Fetzertown Road', 'Mexico Road', 'Kase Run', ""McDonald's"", '1226 Old 220 Road', 'Golden Lane', 'Mountain Road', 'Horse Farm Road', 'Rumberger Road', 'Golf Course Road', 'Mauses Creek']","['Kylertown', 'Snow Shoe', 'Bloomsburg', 'New Columbia', 'Loganton', 'Orangeville', 'Danville', 'Lanse', 'Mingoville', 'Milesburg', 'Mackeyville', 'White Deer']",['S1100'],['I'],1
31,5238965894433443661,64133804176276666,2850032122,2850032122_3,2850032122_3_2,"(41.011444, -76.22704)","(41.30224, -75.74031)",60.562,81.128,"{'Highway': 8, 'No_category': 5}","{'Street': 5, 'State_Road': 8}","['Sugar Notch Run', ""Bob's Discount Furniture"", 'Springtown Road', 'CenterPoint Commerce & Trade Park', 'Pittston Crossings', 'Ridge Road', 'Quarry Creek', 'I 81 South', 'Red Rock Road', '390 Route 315 Highway', 'I 80']","['Wilkes Barre', 'Saint Johns', 'Nescopeck', 'Mountain Top', 'Sugarloaf', 'Pittston', 'Beach Haven']",['S1100'],"['I', 'S']",1
32,5238965894433443661,64133804176276666,2850032122,2850032122_3,2850032122_3_3,"(41.309807, -75.75072)","(41.330017, -75.73944)",2.88,15.0,{'No_category': 4},"{'Street': 3, 'Road': 1, 'State_Road': 3}","['Petro Truck Stops - Scranton', 'Hillside Avenue', 'PA 315 South']",['Pittston'],['S1100'],['I'],1
